ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d,,,,Longitude,Latitude
"7835 Champlain Crescent;StrongStart BC;Champlain Heights Annex StrongStart Cntr;""{""""coordinates"""": [-123.03054968939806",49.21407843," """"type"""": """"Point""""}"";Killarney;49.2140784318",-123.0305497,-123.0305497,49.21407843
"315 E 23rd Av;Public School;David Livingstone Elementary;""{""""coordinates"""": [-123.09798144",49.25075334," """"type"""": """"Point""""}"";Riley Park;49.2507533361",-123.0979814,-123.0979814,49.25075334
"2900 E 44th Av;Public School;Dr George M Weir Elementary;""{""""coordinates"""": [-123.04440254",49.22957876," """"type"""": """"Point""""}"";Killarney;49.2295787591",-123.0444025,-123.0444025,49.22957876
"500 W 20th Av;Public School;Edith Cavell Elementary;""{""""coordinates"""": [-123.11722884",49.25290711," """"type"""": """"Point""""}"";South Cambie;49.2529071091",-123.1172288,-123.1172288,49.25290711
"5025 Willow St;Public School;G F Strong School Program;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"4251 Ontario St;Public School;General Wolfe Elementary;""{""""coordinates"""": [-123.10596494",49.24722871," """"type"""": """"Point""""}"";Riley Park;49.2472287061",-123.1059649,-123.1059649,49.24722871
"2625 Franklin St;Public School;Hastings Community Elementary;""{""""coordinates"""": [-123.05057740868249",49.28261096," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2826109599",-123.0505774,-123.0505774,49.28261096
"2490 W 37th Av;Independent School;Ivy Montessori School;""{""""coordinates"""": [-123.16209828723368",49.2381148," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2381148009",-123.1620983,-123.1620983,49.2381148
"801 E 54th Av;Public School;John Henderson Annex;""{""""coordinates"""": [-123.08804322",49.22104214," """"type"""": """"Point""""}"";Sunset;49.2210421431",-123.0880432,-123.0880432,49.22104214
"5555 Carnarvon St;Public School;Kerrisdale Elementary;""{""""coordinates"""": [-123.17345921",49.23616825," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2361682451",-123.1734592,-123.1734592,49.23616825
"6454 Killarney St;Public School;Killarney Secondary;""{""""coordinates"""": [-123.04415722000002",49.2253001," """"type"""": """"Point""""}"";Killarney;49.2253001041",-123.0441572,-123.0441572,49.2253001
"1936 W 10th Av;Public School;Lord Tennyson Elementary;""{""""coordinates"""": [-123.14937705",49.26251893," """"type"""": """"Point""""}"";Kitsilano;49.2625189341",-123.1493771,-123.1493771,49.26251893
"1950 E Hastings St;StrongStart BC;MacDonald StrongStart Centre;""{""""coordinates"""": [-123.06467911",49.28072391," """"type"""": """"Point""""}"";Grandview-Woodland;49.2807239091",-123.0646791,-123.0646791,49.28072391
"5750 Oak St;Independent School;Pacific Torah Institute;""{""""coordinates"""": [-123.12761225509908",49.23342157," """"type"""": """"Point""""}"";Oakridge;49.2334215663",-123.1276123,-123.1276123,49.23342157
"981 Nelson St;Independent School;Pattison High School;""{""""coordinates"""": [-123.12511331828341",49.28108362," """"type"""": """"Point""""}"";Downtown;49.281083621",-123.1251133,-123.1251133,49.28108362
"981 Nelson St;Independent School;Pattison School;""{""""coordinates"""": [-123.12511331828341",49.28108362," """"type"""": """"Point""""}"";Downtown;49.281083621",-123.1251133,-123.1251133,49.28108362
"5350 East Boulevard;Public School;Point Grey Secondary;""{""""coordinates"""": [-123.15343060436416",49.23728904," """"type"""": """"Point""""}"";Shaughnessy;49.2372890361",-123.1534306,-123.1534306,49.23728904
"5300 Maple St;Public School;Quilchena Elementary;""{""""coordinates"""": [-123.15157081",49.23724621," """"type"""": """"Point""""}"";Shaughnessy;49.2372462101",-123.1515708,-123.1515708,49.23724621
"8610 Ash St;Independent School;Royal Canadian College;""{""""coordinates"""": [-123.11860774594169",49.20724202," """"type"""": """"Point""""}"";Marpole;49.207242015",-123.1186077,-123.1186077,49.20724202
"3323 Wellington Av;Public School;Sir Wilfred Grenfell Community;""{""""coordinates"""": [-123.0348073745407",49.24289162," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2428916207",-123.0348074,-123.0348074,49.24289162
"7350 Laurel St;Public School;Sir Wilfrid Laurier Elementary;""{""""coordinates"""": [-123.12504721",49.21776253," """"type"""": """"Point""""}"";Marpole;49.2177625341",-123.1250472,-123.1250472,49.21776253
"2325 Cassiar St;StrongStart BC;Thunderbird StrongStart Centre;""{""""coordinates"""": [-123.03187058558184",49.26364889," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2636488904",-123.0318706,-123.0318706,49.26364889
"2450 Cambridge St;StrongStart BC;Tillicum Annex StrongStart Centre;""{""""coordinates"""": [-123.05559853",49.28626346," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2862634551",-123.0555985,-123.0555985,49.28626346
"2450 Cambridge St;Public School;Tillicum Community Annex;""{""""coordinates"""": [-123.05559853",49.28626346," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2862634551",-123.0555985,-123.0555985,49.28626346
"4170 Trafalgar St;Public School;Trafalgar Elementary;""{""""coordinates"""": [-123.16460607",49.25017876," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2501787561",-123.1646061,-123.1646061,49.25017876
"1580 W Broadway;Public School;Vancouver Alternate;""{""""coordinates"""": [-123.14026052001878",49.26329988," """"type"""": """"Point""""}"";Fairview;49.2632998823",-123.1402605,-123.1402605,49.26329988
"530 E 41st Av;Public School;Vancouver Learning Network;""{""""coordinates"""": [-123.09279776",49.23195715," """"type"""": """"Point""""}"";Sunset;49.2319571501",-123.0927978,-123.0927978,49.23195715
"998 W 26th Av;Independent School;Vancouver Talmud Torah Elementary;""{""""coordinates"""": [-123.12682202118758",49.24757967," """"type"""": """"Point""""}"";South Cambie;49.2475796719",-123.126822,-123.126822,49.24757967
"15 N Renfrew St;Independent School;West Coast Christian School;""{""""coordinates"""": [-123.04453612333309",49.28498447," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2849844662",-123.0445361,-123.0445361,49.28498447
"4125 W 8th Av;Independent School;West Point Grey Academy;""{""""coordinates"""": [-123.20150739365414",49.26706635," """"type"""": """"Point""""}"";West Point Grey;49.2670663451",-123.2015074,-123.2015074,49.26706635
"1130 Keefer St;StrongStart BC;Admiral Seymour StrongStart Centre;""{""""coordinates"""": [-123.08031429999998",49.27859427," """"type"""": """"Point""""}"";Strathcona;49.2785942691",-123.0803143,-123.0803143,49.27859427
"5025 Willow St;Public School;BC Childrens Hosp School Program;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"2251 Collingwood St;Public School;Bayview Community Elementary;""{""""coordinates"""": [-123.18233379",49.26648701," """"type"""": """"Point""""}"";Kitsilano;49.2664870061",-123.1823338,-123.1823338,49.26648701
"1690 Matthews Av;Public School;Canuck Place School Program;""{""""coordinates"""": [-123.14306239951357",49.25166953," """"type"""": """"Point""""}"";Shaughnessy;49.2516695258",-123.1430624,-123.1430624,49.25166953
"438 Terminal Av;Independent School;Columbia College;""{""""coordinates"""": [-123.09507768504591",49.27155962," """"type"""": """"Point""""}"";Strathcona;49.2715596211",-123.0950777,-123.0950777,49.27155962
"6344 Nanaimo St;Independent School;Corpus Christi School;""{""""coordinates"""": [-123.05758354036608",49.2264061," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2264061042",-123.0575835,-123.0575835,49.2264061
"8370 Cartier St;StrongStart BC;David Lloyd George StrongStart Centre;""{""""coordinates"""": [-123.13634890999998",49.20996241," """"type"""": """"Point""""}"";Marpole;49.2099624111",-123.1363489,-123.1363489,49.20996241
"2421 Scarboro Av;Public School;David Oppenheimer Elementary;""{""""coordinates"""": [-123.05829331021336",49.21331811," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2133181103",-123.0582933,-123.0582933,49.21331811
"2896 W 6th Av;Public School;General Gordon Elementary;""{""""coordinates"""": [-123.17067418",49.2659799," """"type"""": """"Point""""}"";Kitsilano;49.2659799021",-123.1706742,-123.1706742,49.2659799
"4105 Gladstone St;Public School;Gladstone Secondary;""{""""coordinates"""": [-123.06163307000001",49.24761204," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2476120351",-123.0616331,-123.0616331,49.24761204
"7455 Ontario St;Public School;J.W. Sexsmith Community Elementary;""{""""coordinates"""": [-123.10879442",49.21726779," """"type"""": """"Point""""}"";Marpole;49.2172677921",-123.1087944,-123.1087944,49.21726779
"530 E 41st Av;Public School;John Oliver Secondary;""{""""coordinates"""": [-123.09279776",49.23195715," """"type"""": """"Point""""}"";Sunset;49.2319571501",-123.0927978,-123.0927978,49.23195715
"2550 W 10th Av;Public School;Kitsilano Secondary;""{""""coordinates"""": [-123.16358941",49.26265477," """"type"""": """"Point""""}"";Kitsilano;49.2626547721",-123.1635894,-123.1635894,49.26265477
"1166 W 14th Av;Public School;L'Ecole Bilingue Elementary;""{""""coordinates"""": [-123.13038640000002",49.25808403," """"type"""": """"Point""""}"";Fairview;49.2580840331",-123.1303864,-123.1303864,49.25808403
"3939 W 16th Av;Public School;Lord Byng Secondary;""{""""coordinates"""": [-123.1925309529982",49.25956655," """"type"""": """"Point""""}"";West Point Grey;49.2595665501",-123.192531,-123.192531,49.25956655
"2235 Kitchener St;Public School;Lord Nelson Elementary;""{""""coordinates"""": [-123.05971209",49.27250774," """"type"""": """"Point""""}"";Grandview-Woodland;49.2725077371",-123.0597121,-123.0597121,49.27250774
"2235 Kitchener St;StrongStart BC;Lord Nelson StrongStart Centre;""{""""coordinates"""": [-123.05971209",49.27250774," """"type"""": """"Point""""}"";Grandview-Woodland;49.2725077371",-123.0597121,-123.0597121,49.27250774
"1750 E 22nd Av;StrongStart BC;Lord Selkirk StrongStart Centre;""{""""coordinates"""": [-123.06900705",49.24969195," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2496919521",-123.0690071,-123.0690071,49.24969195
"6360 Maple St;Public School;Magee Secondary;""{""""coordinates"""": [-123.15153798760876",49.22855387," """"type"""": """"Point""""}"";Kerrisdale;49.2285538651",-123.151538,-123.151538,49.22855387
"3375 Nootka St;Public School;Nootka Community Elementary;""{""""coordinates"""": [-123.04294917",49.25359297," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2535929701",-123.0429492,-123.0429492,49.25359297
"2880 Venables St;Independent School;Notre Dame Regional Secondary;""{""""coordinates"""": [-123.04556662808874",49.27580284," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2758028393",-123.0455666,-123.0455666,49.27580284
"575 Slocan St;Independent School;Our Lady of Sorrows;""{""""coordinates"""": [-123.05015370472844",49.27957122," """"type"""": """"Point""""}"";Hastings-Sunrise;49.279571216",-123.0501537,-123.0501537,49.27957122
"2409 E Pender St;Independent School;PALS Autism School;""{""""coordinates"""": [-123.05595432992459",49.28051481," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2805148095",-123.0559543,-123.0559543,49.28051481
"4196 W 4th Av;Independent School;Pacific Spirit School;""{""""coordinates"""": [-123.1982460233882",49.26766798," """"type"""": """"Point""""}"";West Point Grey;49.2676679823",-123.198246,-123.198246,49.26766798
"5750 Oak St;Independent School;Pacific Torah Institute International;""{""""coordinates"""": [-123.12761225509908",49.23342157," """"type"""": """"Point""""}"";Oakridge;49.2334215663",-123.1276123,-123.1276123,49.23342157
"449 E 62nd Av;Public School;Pierre Elliott Trudeau Elementary;""{""""coordinates"""": [-123.096959",49.214454," """"type"""": """"Point""""}"";Sunset;49.2144540041",-123.096959,-123.096959,49.214454
"3417 Euclid Av;Public School;Prov. Early Intervention Resource Prg;""{""""coordinates"""": [-123.032313",49.2363486," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2363485991",-123.032313,-123.032313,49.2363486
"1300 E Broadway;StrongStart BC;Queen Alexandra StrongStart Centre;""{""""coordinates"""": [-123.07592057",49.26197055," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2619705491",-123.0759206,-123.0759206,49.26197055
"4275 Crown St;Public School;Queen Elizabeth Annex;""{""""coordinates"""": [-123.19469107",49.24893678," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2489367791",-123.1946911,-123.1946911,49.24893678
"2000 Trimble St;Public School;Queen Mary Elementary;""{""""coordinates"""": [-123.20479699",49.26785642," """"type"""": """"Point""""}"";West Point Grey;49.2678564221",-123.204797,-123.204797,49.26785642
"1025 Slocan St;Public School;SD 39 DL Elementary;""{""""coordinates"""": [-123.05026876999999",49.27541639," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2754163911",-123.0502688,-123.0502688,49.27541639
"2150 Brigadoon Av;Public School;Sir James Douglas Elementary;""{""""coordinates"""": [-123.0646531767478",49.21604933," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2160493287",-123.0646532,-123.0646532,49.21604933
"250S Skeena St;Public School;Sir John Franklin Community;""{""""coordinates"""": [-123.02758566",49.2824962," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2824961961",-123.0275857,-123.0275857,49.2824962
"1430 Lillooet St;Public School;Sir Matthew Begbie Elementary;""{""""coordinates"""": [-123.03801003712412",49.2718308," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2718307998",-123.03801,-123.03801,49.2718308
"590 W 65th Av;Public School;Sir Wilfrid Laurier Annex;""{""""coordinates"""": [-123.11944529999998",49.210718," """"type"""": """"Point""""}"";Marpole;49.2107179951",-123.1194453,-123.1194453,49.210718
"5970 Selkirk St;Public School;Sir William Osler Elementary;""{""""coordinates"""": [-123.13266216000001",49.23076242," """"type"""": """"Point""""}"";Oakridge;49.2307624221",-123.1326622,-123.1326622,49.23076242
"5351 Camosun St;Public School;Southlands Elementary;""{""""coordinates"""": [-123.19781516",49.23813759," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2381375851",-123.1978152,-123.1978152,49.23813759
"450 E 47th Av;Independent School;St Andrew's;""{""""coordinates"""": [-123.09585589038312",49.22721361," """"type"""": """"Point""""}"";Sunset;49.2272136115",-123.0958559,-123.0958559,49.22721361
"2145 W 8th Av;Independent School;St Augustine's;""{""""coordinates"""": [-123.15355224259545",49.26517255," """"type"""": """"Point""""}"";Kitsilano;49.2651725515",-123.1535522,-123.1535522,49.26517255
"870 Victoria Drive;Independent School;St Francis of Assisi;""{""""coordinates"""": [-123.06504858875364",49.27688163," """"type"""": """"Point""""}"";Grandview-Woodland;49.2768816347",-123.0650486,-123.0650486,49.27688163
"4175 W 29th Av;Independent School;St George's School;""{""""coordinates"""": [-123.19846496388473",49.24758227," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2475822675",-123.198465,-123.198465,49.24758227
"3261 Fleming St;Independent School;St Joseph's;""{""""coordinates"""": [-123.0716470523458",49.25591441," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2559144082",-123.0716471,-123.0716471,49.25591441
"2953 E 15th Av;Independent School;St Jude's;""{""""coordinates"""": [-123.04262672835044",49.25654579," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2565457867",-123.0426267,-123.0426267,49.25654579
"727 Templeton Drive;Public School;Templeton Secondary;""{""""coordinates"""": [-123.06069106000001",49.27843909," """"type"""": """"Point""""}"";Grandview-Woodland;49.2784390931",-123.0606911,-123.0606911,49.27843909
"5400 Cartier St;Independent School;Vancouver College DL;""{""""coordinates"""": [-123.1361713344514",49.23495942," """"type"""": """"Point""""}"";Shaughnessy;49.2349594188",-123.1361713,-123.1361713,49.23495942
"5621 Killarney St;Independent School;Vancouver Formosa Academy;""{""""coordinates"""": [-123.04636736023019",49.23374742," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2337474211",-123.0463674,-123.0463674,49.23374742
"2600 E Broadway;Public School;Vancouver Technical Secondary;""{""""coordinates"""": [-123.05129983999998",49.26075548," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2607554751",-123.0512998,-123.0512998,49.26075548
"1000 E 59th Av;StrongStart BC;Walter Moberly StrongStart Centre;""{""""coordinates"""": [-123.08434542",49.21610923," """"type"""": """"Point""""}"";Sunset;49.2161092301",-123.0843454,-123.0843454,49.21610923
"6111 Elliott St;Public School;Waverley Elementary;""{""""coordinates"""": [-123.05578593",49.22783723," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2278372251",-123.0557859,-123.0557859,49.22783723
"6111 Elliott St;StrongStart BC;Waverley StrongStart Centre;""{""""coordinates"""": [-123.05578593",49.22783723," """"type"""": """"Point""""}"";Victoria-Fraserview;49.2278372251",-123.0557859,-123.0557859,49.22783723
"4157 Oak St;Independent School;Westside Montessori;""{""""coordinates"""": [-123.1280001050362",49.24857413," """"type"""": """"Point""""}"";Shaughnessy;49.2485741268",-123.1280001,-123.1280001,49.24857413
"3155 E 27th Av;Public School;Windermere Community Secondary;""{""""coordinates"""": [-123.0371743",49.24651246," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2465124561",-123.0371743,-123.0371743,49.24651246
"3274 East Boulevard;Independent School;York House Little School;""{""""coordinates"""": [-123.152101",49.25671," """"type"""": """"Point""""}"";Shaughnessy;49.2567099991",-123.152101,-123.152101,49.25671
"3400 Balaclava St;Public School;Carnarvon Community Elementary;""{""""coordinates"""": [-123.17355723856548",49.25658742," """"type"""": """"Point""""}"";Arbutus-Ridge;49.2565874213",-123.1735572,-123.1735572,49.25658742
"6955 Frontenac St;Public School;Champlain Heights Community Elementary;""{""""coordinates"""": [-123.02774835",49.2206403," """"type"""": """"Point""""}"";Killarney;49.2206403011",-123.0277484,-123.0277484,49.2206403
"1010 E 17th Av;Public School;Charles Dickens Elementary;""{""""coordinates"""": [-123.08239063270196",49.2548545," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2548545",-123.0823906,-123.0823906,49.2548545
"2684 E 2nd Av;Public School;Chief Maquinna Elementary;""{""""coordinates"""": [-123.05058984",49.26788631," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2678863131",-123.0505898,-123.0505898,49.26788631
"3417 Euclid Av;StrongStart BC;Collingwood StrongStart Centre;""{""""coordinates"""": [-123.032313",49.2363486," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2363485991",-123.032313,-123.032313,49.2363486
"1580 W Broadway;Public School;Continuing Ed SD 39;""{""""coordinates"""": [-123.14026052001878",49.26329988," """"type"""": """"Point""""}"";Fairview;49.2632998823",-123.1402605,-123.1402605,49.26329988
"8370 Cartier St;Public School;David Lloyd George Elementary;""{""""coordinates"""": [-123.13634890999998",49.20996241," """"type"""": """"Point""""}"";Marpole;49.2099624111",-123.1363489,-123.1363489,49.20996241
"7455 Maple St;Public School;Dr R E McKechnie Elementary;""{""""coordinates"""": [-123.15401133",49.21770659," """"type"""": """"Point""""}"";Kerrisdale;49.2177065891",-123.1540113,-123.1540113,49.21770659
"5025 Willow St;Public School;Eric Hamber Secondary;""{""""coordinates"""": [-123.12579095999999",49.23963096," """"type"""": """"Point""""}"";South Cambie;49.2396309611",-123.125791,-123.125791,49.23963096
"900 School Green;Public School;False Creek Elementary;""{""""coordinates"""": [-123.12685921",49.26710311," """"type"""": """"Point""""}"";Fairview;49.2671031111",-123.1268592,-123.1268592,49.26710311
"2740 Guelph St;StrongStart BC;Florence Nightingale StrongStart Centre;""{""""coordinates"""": [-123.09371757",49.26005932," """"type"""": """"Point""""}"";Mount Pleasant;49.2600593241",-123.0937176,-123.0937176,49.26005932
"1025 Slocan St;Public School;Garibaldi Annex;""{""""coordinates"""": [-123.05026876999999",49.27541639," """"type"""": """"Point""""}"";Hastings-Sunrise;49.2754163911",-123.0502688,-123.0502688,49.27541639
"3745 W 28th Av;Independent School;Immaculate Conception School;""{""""coordinates"""": [-123.18770751925071",49.24759061," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2475906125",-123.1877075,-123.1877075,49.24759061
"801 E 54th Av;StrongStart BC;John Henderson StrongStart Centre;""{""""coordinates"""": [-123.08804322",49.22104214," """"type"""": """"Point""""}"";Sunset;49.2210421431",-123.0880432,-123.0880432,49.22104214
"3250 W 43rd Av;Public School;Kerrisdale Annex;""{""""coordinates"""": [-123.177405",49.232868," """"type"""": """"Point""""}"";Kerrisdale;49.2328679991",-123.177405,-123.177405,49.232868
